"Supplementary Table 6 – Candidate TEAD targets genes are annotated with expression information (in-house and public datasets), biological function and involvement in melanoma. ",,,,,,,,,,,
,,,,,,,,,,,
Gene Symbol,2 invasive vs 9 proliferative samples,,TEADs - KD in MM047,,TAZ activation in Glioma*,TCGA-SKCM (TEAD-high vs rest),,CCLE-melanoma (Resistant vs Sensitive),,ECM and locomotion (GO),Involvement in melanoma (NCBI)
Gene Symbol,log2FC,adj-p-val,log2FC,adj-p-val,log2FC,log2FC,adj-p-val,log2FC,adj-p-val,,
FOXC2,3.993218387,0.038266252,0.750463663,0.418193382,-0.121509562,1.220964168,0.00014272,0.491356911,0.458658854,1,0
FOXE1,4.012563501,0.043793152,0.556122748,0.008307196,-0.067691891,1.060093238,0.068818642,0.11503796,0.519063667,1,0
FOXF1,6.672533795,4.39E-08,1.686724332,8.82E-09,-0.631835793,0.01989884,0.965734387,1.817141848,0.083019113,1,0
FOXG1,6.593738381,5.21E-07,-1.267080152,0.027474448,0.679446891,0.434202002,0.512723263,0.424649304,0.434538557,1,0
GREM1,6.528017119,4.35E-06,-1.567628553,5.10E-10,0.226714106,1.044379859,0.002674456,2.118028283,0.064741894,1,0
HBEGF,2.163046139,0.03615562,-2.773189735,1.60E-17,0.74772737,0.868838089,1.26E-05,0.460816489,0.013594241,1,0
IGFBP5,3.370891833,0.062422066,0.849901146,0.064363139,1.286127628,0.873812901,0.014260476,0.804255719,0.52490857,1,0
IL8,4.259565911,0.00351801,-2.051410028,3.43E-06,2.452474694,1.110215139,0.001230282,NA,NA,1,0
ING2,1.577671729,0.027006599,-0.984327595,0.000139597,0.020605974,0.215185257,0.02896273,0.389963406,0.156878816,1,0
IRS1,2.087013934,0.00013518,-0.808069561,8.98E-05,3.957558419,0.546963775,0.018471376,0.744346386,0.167378427,1,0
ITGA1,2.791814003,0.065287615,0.138555282,0.904105804,0,1.652521597,1.37E-13,1.227704147,0.042966711,1,0
ITGB4,3.546862952,0.001519772,1.722562409,7.77E-05,0.191958244,1.20801379,0.000500243,0.080556149,0.53552454,1,0
KAL1,7.032346512,1.39E-10,-0.901064732,0.008998921,-2.469218938,0.944101481,0.000937339,0.159537168,0.354721133,1,0
KIRREL3,2.878638528,0.004465263,-0.370633931,0.644235353,NA,1.428204327,4.44E-06,0.437233298,0.176024843,1,0
KLF7,1.886634999,0.003535892,0.164184713,0.731185344,1.621045484,0.771082584,2.26E-05,0.766809579,0.020217396,1,0
LAMA3,4.489641519,4.63E-06,-0.887652993,0.007310013,-0.051773362,1.415766896,1.35E-05,0.058753535,0.622525833,1,0
LAMB2,1.446227377,0.02411363,-0.03873929,0.909265552,0.126083799,-0.20362075,0.235271917,0.507018489,0.286616108,1,0
LAMC1,2.302868148,0.000878158,-0.051070385,0.903187725,-0.184762872,0.967424621,1.37E-09,0.236442264,0.655310091,1,0
LEPREL1,3.002164709,0.059869383,-0.654685525,0.021073062,2.873342313,1.669743439,4.27E-06,0.284935194,0.723028308,1,0
LOX,4.618895343,3.04E-05,-0.644106965,0.015967707,3.396188174,1.31660272,3.34E-07,1.964463694,0.029834524,1,0
LOXL2,6.955257926,1.68E-10,-0.55058227,0.076365939,0.842616709,1.148737842,3.87E-07,1.349706986,0.000687592,1,0
LPAR1,5.145151965,0.000204541,0.132833015,0.703496626,-1.371752572,1.647759715,3.42E-07,1.693819972,0.035558927,1,0
MKX,7.141407364,6.21E-11,-0.216972484,0.800699639,NA,1.483388603,0.000509456,0.251810277,0.473912492,1,0
MYL6,1.555150591,0.006252324,0.448795152,0.04066329,0.244876531,0.037919192,0.797003875,0.40545131,0.011847713,1,0
MYL9,4.412760386,0.010172473,0.374671042,0.122483228,0,0.532976211,0.042849347,0.349397914,0.888286599,1,0
MYLK,3.437156206,6.15E-10,-1.216432263,7.00E-05,2.64049701,0.630903424,0.007174093,0.532318048,0.186845152,1,0
NEXN,6.138187501,9.49E-11,-1.527886597,1.48E-11,NA,1.028373856,5.63E-05,1.170375757,0.295789114,1,0
NR2F1,4.764794336,6.52E-10,0.303102531,0.663822098,0.150851126,0.897164378,0.001963305,1.040284793,0.078884533,1,0
NR2F2,1.844252531,0.042547878,-1.312503724,0.001113063,0.361784286,0.727466478,7.32E-06,0.737518329,0.079706225,1,0
NTN4,5.410448575,0.000209938,0.217593662,0.437628964,NA,1.12483759,0.000333767,2.046400417,0.028254004,1,0
PDGFB,3.665867785,0.022377185,2.952400979,9.25E-11,-0.000975133,0.701158298,0.000250291,0.169229024,0.216162099,1,0
PDGFRB,4.377000748,7.37E-05,0.831941181,0.031907383,-0.3948182,1.190913314,3.84E-09,0.632716828,0.034786231,1,0
PLOD2,2.580933856,0.002593472,-0.925855332,0.026372172,0.625638362,0.76707452,0.000488425,0.945583366,0.063727895,1,0
PODXL,4.139640734,7.92E-18,-1.949957806,1.89E-08,1.001300042,1.451888651,1.60E-15,2.348809755,0.010104634,1,0
PVRL2,1.665099043,0.026759767,0.196189052,0.489793596,1.060089873,0.218394207,0.146133758,0.354481207,0.471077729,1,0
RELN,4.186794039,0.011165997,NA,NA,-0.291334968,2.021486927,2.85E-07,0.194806526,0.655184596,1,0
RRAS2,1.543528489,0.005553204,-0.307713964,0.352970871,2.375483807,0.067250758,0.763452794,0.349462666,0.700166567,1,0
S1PR1,5.948597735,6.95E-08,-0.358692193,0.453056362,1.521232117,0.411003698,0.072531118,0.455557154,0.139577625,1,0
SEMA3F,2.865680961,0.091809701,-0.562309429,0.053068136,-0.047691921,0.69406343,0.00117904,0.001092601,0.997350808,1,0
SERPINH1,1.922873138,0.095992471,0.037831464,0.891971861,-0.335525198,0.601479965,0.00052204,0.986588906,0.42565735,1,0
SIAH2,1.134309265,0.030060834,-0.570210815,0.086884463,-0.354840226,0.236671571,0.027024088,0.136197327,0.742439382,1,0
SPOCK1,3.205068458,0.038167858,0.617219212,0.167971489,-0.22679635,0.797929578,0.019247508,2.572774595,0.023050508,1,0
SULF1,5.196592698,0.001174804,0.588686803,0.29106112,0,2.054170885,3.33E-14,1.36641404,0.209766492,1,0
TGFB2,4.749976662,1.42E-08,-0.094823802,0.863522132,0.84552386,1.076378638,0.00170917,0.288999087,0.606950403,1,0
TGFBR2,2.281484306,0.004503718,0.268979768,0.506406011,1.085719287,0.555970754,0.001400445,0.851147671,0.064393633,1,0
THSD4,3.790569977,3.57E-10,0.894361123,0.000917749,0.216836916,1.444658312,2.72E-07,0.498651512,0.079244894,1,0
TNFRSF11B,5.600046723,2.39E-07,-0.532715869,0.349222155,-0.885065296,0.825753409,0.016013725,1.520554329,0.212181165,1,0
TPM1,2.619998869,0.035759527,-1.043679998,0.000789105,2.650183754,1.101718751,2.29E-12,1.717830155,0.00170348,1,0
